@relation 'JURA-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,7,9,10,11,5,6,8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Xloc numeric
@attribute Yloc numeric
@attribute Landuse=1 numeric
@attribute Landuse=2 numeric
@attribute Landuse=3 numeric
@attribute Landuse=4 numeric
@attribute Rock=1 numeric
@attribute Rock=2 numeric
@attribute Rock=3 numeric
@attribute Rock=4 numeric
@attribute Rock=5 numeric
@attribute Cr numeric
@attribute Ni numeric
@attribute Pb numeric
@attribute Zn numeric
@attribute Cd numeric
@attribute Co numeric
@attribute Cu numeric

@data
4.252,3.292,0,0,1,0,0,1,0,0,0,26,22.24,65.6,74,0.733,11.8,39.2
4.292,3.29,0,0,1,0,0,1,0,0,0,31.68,28.64,52.8,110.8,2.08,11.92,71.6
4.283,3.278,0,0,1,0,0,1,0,0,0,37.12,26.48,34.68,90,0.844,13.88,21.04
3.53,4.999,1,0,0,0,1,0,0,0,0,34.52,16.76,31.64,56.8,0.49,7.44,4.64
4.07,4.157,0,0,1,0,0,0,1,0,0,47.6,28.44,50,90.8,1.916,14.36,45.6
4.61,3.315,1,0,0,0,0,1,0,0,0,30.76,20.72,48,46.8,1.384,12.68,7.48
3.605,5.345,0,0,1,0,0,0,1,0,0,29.48,17.56,35,58,0.849,9.04,18.4
2.672,3.558,0,0,1,0,0,0,0,0,1,37.12,18.6,38.2,65.2,1.57,8.28,18.6
3.589,4.443,0,0,1,0,1,0,0,0,0,40.8,21.52,33.36,112.8,2.045,10.8,11.48
4.01,4.713,0,1,0,0,1,0,0,0,0,53.2,23.92,26.56,91.6,1.203,12,13.04
2.942,3.137,0,1,0,0,0,0,0,0,1,23.4,14.6,25.88,41.2,0.49,10.92,5.64
1.409,2.748,0,0,1,0,0,0,1,0,0,27.16,14.64,31.16,50.4,0.692,8.12,10.32
3.978,2.91,1,0,0,0,0,1,0,0,0,35.48,26.4,37.72,63.2,1.75,9.12,8.36
2.715,2.1,1,0,0,0,0,1,0,0,0,30.32,24.24,41,53.16,0.415,9.12,4.44
3.87,0.762,0,1,0,0,0,0,1,0,0,31.92,13.12,30.84,49.28,0.685,11.72,10.92
2.445,2.521,0,0,1,0,0,1,0,0,0,49.04,31.52,68.12,102.72,0.92,10.56,30.28
3.827,2.219,1,0,0,0,0,1,0,0,0,23,14.52,54.4,72.4,2.12,6.36,7.352
2.488,1.064,0,0,1,0,1,0,0,0,0,31.4,16.12,46.8,57.6,0.495,8.52,17.08
1.646,0.524,0,1,0,0,0,1,0,0,0,37.28,25.24,55.2,76.4,1.06,14.44,18.88
3.136,2.37,1,0,0,0,0,0,0,1,0,33.12,14.92,35.28,32.6,0.79,5.2,3.98
3.74,5.134,1,0,0,0,1,0,0,0,0,39.04,24.24,30.16,56.8,0.772,10.84,8.16
1.678,2.327,0,0,1,0,0,0,1,0,0,37.44,22.36,72.4,108.4,1.188,9.68,31.36
4.399,3.18,0,0,1,0,0,0,0,1,0,34.56,30.2,108.8,156.8,1.615,11.96,91.2
3.935,4.368,0,0,1,0,0,0,1,0,0,40.8,25.36,45.6,105.2,3.023,12.76,19.72
3.33,1.604,0,0,1,0,0,0,1,0,0,56.2,25.4,144.36,147.4,2.315,9.92,113.12
3.557,2.64,1,0,0,0,0,1,0,0,0,25.72,18.92,54.4,58.4,2.65,8.84,12.3
1.376,0.945,0,0,1,0,1,0,0,0,0,42.8,23.52,94.4,175.2,3.78,9.68,32.76
2.024,2.251,0,0,1,0,0,0,1,0,0,38,23.12,142,124.8,1.805,12.6,55.6
3.31,4.594,0,0,1,0,0,0,0,0,1,40.4,22.52,93.6,108.8,1.58,5.8,56.4
4.097,1.798,0,0,0,1,0,1,0,0,0,45,35.72,46.4,90,1.93,13.8,19.3
2.326,3.633,0,0,1,0,1,0,0,0,0,20.12,6.28,31.92,40.72,0.415,2.36,18.32
3.514,4.098,0,1,0,0,0,0,1,0,0,26,11.64,27.24,50,0.675,6.56,9.24
3.168,4.173,0,0,1,0,1,0,0,0,0,26.56,15.4,30.28,52.4,0.745,3.948,8.52
4.292,1.039,0,0,1,0,0,0,0,0,1,27.52,20.6,36.48,63.2,1.42,11.12,18.8
2.834,0.988,0,1,0,0,0,0,1,0,0,49.2,25.56,53.6,108.8,1.425,15.24,13.32
4.443,1.723,0,1,0,0,0,0,0,0,1,34.8,19.6,48.4,80.4,1.31,12.72,17.7
3.482,2.295,0,1,0,0,0,1,0,0,0,40.52,30.8,300,192,1.765,10.32,127
3.665,4.789,0,0,1,0,1,0,0,0,0,31.12,13.88,21.76,60.8,0.647,8.72,9.76
4.173,2.144,0,1,0,0,0,1,0,0,0,44.12,29.6,48.8,92.8,1.81,13.2,17.9
2.143,1.139,0,0,1,0,1,0,0,0,0,21.64,8.92,105.6,72.4,0.394,4.44,39.56
3.061,2.025,0,0,1,0,0,1,0,0,0,37.72,25.32,35.72,92.64,1.6,10.92,20.6
2.985,1.679,0,0,1,0,0,1,0,0,0,46.28,43.68,61.44,111.08,1.675,14.4,22.92
3.438,3.752,0,1,0,0,0,1,0,0,0,31,18.6,43.6,65.2,1.28,6.36,13.04
4.637,0.956,0,0,1,0,0,1,0,0,0,33.52,22.52,35.32,78.4,0.87,12.8,16.5
3.049,5.285,1,0,0,0,0,1,0,0,0,49.2,27.16,48.4,60.4,0.8,12.4,7.68
1.106,1.366,0,0,1,0,1,0,0,0,0,22.16,7.92,55.2,46.8,0.475,3.96,22.68
3.633,2.986,0,0,1,0,0,1,0,0,0,32.92,22.32,51.6,80.4,0.855,12.4,25.5
3.708,3.331,0,1,0,0,0,1,0,0,0,28.48,23.28,41.2,58,1.34,9.32,10.32
2.909,1.334,0,0,1,0,1,0,0,0,0,24.8,11.24,74.36,111.32,1.805,6.12,28.92
2.102,2.597,0,0,1,0,0,1,0,0,0,36.52,25.36,70.4,75.44,0.825,15.32,31.2
1.797,1.215,0,0,1,0,1,0,0,0,0,21.8,8.88,58,47.2,0.545,4.24,33.08
3.255,1.253,0,0,1,0,0,0,1,0,0,41,24.52,239.96,259.84,1.78,11.4,154.6
4.129,3.601,1,0,0,0,0,1,0,0,0,32.84,23.6,55.2,59.2,2.566,10.6,7.88
3.363,3.407,0,1,0,0,0,1,0,0,0,28.52,19.32,34.84,53.2,0.61,14.8,7.86
1.452,1.29,0,0,1,0,1,0,0,0,0,39.88,13.2,56.4,51.2,0.585,5.8,15.16
4.745,3.105,1,0,0,0,1,0,0,0,0,19.44,9.52,32.68,44.8,1.436,5.24,14.2
0.491,1.862,1,0,0,0,0,0,1,0,0,32.72,18.16,48.4,49.2,2.415,7.88,21.32
2.369,2.176,0,0,1,0,0,0,0,0,1,29.76,20.2,139.16,95.68,0.75,15.6,73.12
3.676,1.528,0,0,1,0,0,0,1,0,0,32,19.52,88.32,88.16,0.805,11.12,38.72
1.257,2.057,0,1,0,0,0,0,1,0,0,37.08,19.64,41.6,52,0.65,11.44,12.8
3.903,2.565,1,0,0,0,0,1,0,0,0,3.32,1.98,62.4,60.4,0.51,1.652,5.96
1.603,1.981,0,0,0,1,0,1,0,0,0,29.84,17.92,38.24,70.4,0.705,13.04,16.04
3.395,5.21,0,0,1,0,0,0,1,0,0,36.56,19.48,25.56,65.6,1.112,9.8,13.12
2.564,1.409,0,0,0,1,1,0,0,0,0,41.6,20.4,152.8,145.2,1.31,8.44,117.6
0.912,2.132,0,1,0,0,0,1,0,0,0,60.4,30.8,51.6,78.4,2.2,10.48,11.88
3.093,3.828,0,0,1,0,0,0,1,0,0,23.2,9.36,30.92,43.2,0.45,7.96,11.5
0.836,1.787,0,0,1,0,0,0,1,0,0,40.8,22.84,50,80.4,0.825,14.32,12.96
2.758,0.643,1,0,0,0,0,1,0,0,0,39.56,18.64,88,86.8,1.245,8.08,13.08
3.017,3.482,0,1,0,0,0,1,0,0,0,38.72,18.8,26.32,59.2,1.09,12.8,8.8
3.212,2.716,0,0,1,0,0,0,1,0,0,35.52,24,60.4,75.6,0.78,12.52,29.8
4.022,1.453,0,1,0,0,0,1,0,0,0,47,36.72,52,100,1.95,10.6,22.6
4.054,3.256,0,0,1,0,0,1,0,0,0,35.04,20.08,52.8,78.8,1.31,8.92,21.16
2.521,2.867,0,1,0,0,0,1,0,0,0,42,33.12,39.36,75.64,1.585,13.2,11.4
3.319,4.864,0,1,0,0,1,0,0,0,0,32.68,15.4,21.12,37.52,0.52,5.08,6.04
2.823,4.249,1,0,0,0,1,0,0,0,0,18.12,8.2,35.4,51.6,1.005,5.36,7.08
1.722,0.869,0,0,1,0,1,0,0,0,0,24.88,9.68,67.2,56.8,0.57,4.08,21.36
2.251,3.288,0,0,1,0,0,0,0,0,1,14.92,4.68,18.68,26.8,0.33,1.92,5.72
1.182,1.711,0,1,0,0,0,0,1,0,0,70,26.24,55.6,71.6,2.535,12.56,8.72
1.83,3.018,0,0,1,0,0,0,1,0,0,43.52,27.88,69.32,111.76,2.685,10.12,32.68
3.752,1.874,0,1,0,0,0,1,0,0,0,37.6,28.4,55.6,80.4,0.69,13.6,20.8
2.218,1.485,0,1,0,0,1,0,0,0,0,34.08,16.36,45.2,70,0.375,12.04,19.36
1.873,1.56,0,0,1,0,0,0,1,0,0,37.88,20.88,60.4,110.8,1.955,9.68,26.08
3.6,1.183,0,0,1,0,0,1,0,0,0,34.2,27.4,49.72,89.88,1.185,10,22.72
2.887,4.889,1,0,0,0,1,0,0,0,0,27.64,14.44,37.52,46.4,1.325,3.744,5.4
1.527,1.636,0,0,1,0,0,0,1,0,0,27.4,13.2,84.8,78.8,0.795,7.92,42
1.333,2.407,0,0,1,0,0,1,0,0,0,43.6,37.52,46,98.4,1.63,13.4,20.56
2.413,0.718,0,0,1,0,0,0,1,0,0,34.52,23.92,38.16,69.2,0.677,12.48,11.92
1.948,1.906,0,0,1,0,0,0,1,0,0,49.6,26.04,45.6,96.4,1.298,12,22.24
1.754,2.672,0,0,1,0,0,1,0,0,0,46.4,29.8,43.6,77.2,1.53,10.36,16.24
2.294,1.83,0,1,0,0,0,1,0,0,0,46.8,23.24,32.76,81.6,0.67,9.72,8.72
2.639,1.755,1,0,0,0,0,0,1,0,0,28.68,17.44,67.36,52.48,1.01,9.96,5.96
1.905,3.363,0,0,1,0,1,0,0,0,0,23.12,9.36,39.76,46.4,0.5,4.8,16.68
2.175,2.942,0,1,0,0,0,0,1,0,0,40.28,30.08,43.8,87.84,1.665,14.8,37
2.791,2.446,0,0,1,0,0,1,0,0,0,36.2,24.12,57.52,84.4,1.52,9.16,16.32
2.866,2.791,0,0,1,0,0,1,0,0,0,30.92,24.32,45.96,79.08,1.315,11.2,14
3.407,1.953,0,1,0,0,0,1,0,0,0,37.32,24.6,38.4,84.08,1.325,9.12,9.92
3.946,1.107,0,1,0,0,0,1,0,0,0,33,20.6,33,48.8,0.495,8.28,7.52
2.452,3.995,0,0,1,0,1,0,0,0,0,24,5.6,28.24,39.64,0.395,3.56,12.72
2.747,3.903,0,1,0,0,1,0,0,0,0,25.52,11.4,21.12,25,0.38,5.44,3.552
3.287,3.061,0,0,1,0,0,0,0,0,1,45.92,26.4,52.4,104,2.085,13.2,39
4.367,1.377,0,0,1,0,0,0,0,0,1,37.2,29.4,47.2,86.4,2.61,20.6,24
4.713,1.302,0,0,1,0,0,1,0,0,0,29.92,23.8,33.64,65.6,0.845,9.68,10.28
4.248,2.489,1,0,0,0,0,0,0,1,0,27.04,21.04,48.8,46.4,1.22,5.24,5.52
3.784,3.677,1,0,0,0,0,1,0,0,0,28.32,18,34.32,55.2,0.64,13.92,6.68
4.324,2.835,1,0,0,0,0,1,0,0,0,33.36,22.72,60,80,1.65,8.72,8.88
3.859,4.022,0,0,1,0,0,0,1,0,0,47.6,29.12,60.8,87.2,1.433,13.32,43.6
2.593,3.312,0,0,1,0,0,0,1,0,0,30,14,26.2,54.96,0.325,10.6,8.08
